timestamp,seconds,role,pid,pcpu,rss_mb,vsz_mb,etime
2026-08-28 22:57:20,512,grap,29409,0.5,372.3,42663.0,18:52
2026-08-28 22:57:50,542,game,27291,54.8,1747.0,47181.1,20:01
2026-08-28 22:57:50,542,wineserver,27386,2.0,212.9,34949.5,20:01
2026-08-28 22:57:50,542,grap,29409,1.2,372.3,42663.0,19:22
2026-08-28 22:58:20,572,game,27291,57.2,1877.8,47221.9,20:31
2026-08-28 22:58:20,572,wineserver,27386,2.1,221.6,34958.3,20:31
2026-08-28 22:58:20,572,grap,29409,0.2,380.9,42663.0,19:52
2026-08-28 22:58:50,602,game,27291,64.4,1910.8,47262.3,21:01
2026-08-28 22:58:50,602,wineserver,27386,2.2,192.5,34933.6,21:01
2026-08-28 22:58:50,602,grap,29409,1.6,381.3,42663.0,20:22
2026-08-28 22:59:20,632,game,27291,63.8,1828.9,47239.0,21:31
2026-08-28 22:59:20,632,wineserver,27386,2.2,136.3,34873.2,21:31
2026-08-28 22:59:20,632,grap,29409,0.2,381.3,42663.0,20:52
2026-08-28 22:59:50,662,game,27291,68.9,1798.9,47238.4,22:01
2026-08-28 22:59:50,662,wineserver,27386,2.6,287.1,35023.8,22:01
2026-08-28 22:59:50,662,grap,29409,34.8,381.4,42664.0,21:22
2026-08-28 23:00:20,692,game,27291,55.7,1785.2,47286.7,22:31
2026-08-28 23:00:20,692,wineserver,27386,9.6,215.9,34952.5,22:31
2026-08-28 23:00:20,692,grap,29409,16.3,381.9,42664.0,21:52
2026-08-28 23:00:50,722,game,27291,69.5,1767.1,47298.8,23:02
2026-08-28 23:00:50,722,wineserver,27386,3.8,215.9,34952.5,23:02
2026-08-28 23:00:50,722,grap,29409,1.7,381.4,42664.0,22:23
2026-08-28 23:01:21,753,game,27291,61.1,1720.1,47278.8,23:32
2026-08-28 23:01:21,753,wineserver,27386,5.4,135.1,34875.3,23:32
2026-08-28 23:01:21,753,grap,29409,9.4,381.9,42664.0,22:53
2026-08-28 23:01:51,783,game,27291,64.8,1720.2,47299.8,24:02
2026-08-28 23:01:51,783,wineserver,27386,2.3,173.9,34910.5,24:02
2026-08-28 23:01:51,783,grap,29409,1.3,381.4,42664.0,23:23
2026-08-28 23:02:21,813,game,27291,82.5,1612.3,47340.7,24:32
2026-08-28 23:02:21,813,wineserver,27386,2.8,306.6,35043.2,24:32
2026-08-28 23:02:21,813,grap,29409,2.4,381.2,42664.0,23:53
2026-08-28 23:02:51,843,game,27291,64.4,1626.0,47327.5,25:02
2026-08-28 23:02:51,843,wineserver,27386,2.2,310.6,35043.2,25:02
2026-08-28 23:02:51,843,grap,29409,0.2,381.2,42664.0,24:23
2026-08-28 23:03:21,873,game,27291,61.2,1678.2,47363.0,25:32
2026-08-28 23:03:21,873,wineserver,27386,2.5,240.6,34973.2,25:32
2026-08-28 23:03:21,873,grap,29409,1.8,381.3,42664.0,24:53
2026-08-28 23:03:51,903,game,27291,65.9,1568.4,47383.2,26:02
2026-08-28 23:03:51,903,wineserver,27386,2.4,161.1,34894.5,26:02
2026-08-28 23:03:51,903,grap,29409,0.3,381.8,42792.0,25:23
2026-08-28 23:04:21,933,game,27291,57.7,1664.0,47386.6,26:32
2026-08-28 23:04:21,933,wineserver,27386,3.5,186.9,34919.9,26:32
2026-08-28 23:04:21,933,grap,29409,2.5,381.8,42792.0,25:53
2026-08-28 23:04:51,963,game,27291,58.3,1682.9,47400.6,27:03
2026-08-28 23:04:51,963,wineserver,27386,2.4,319.6,35052.6,27:03
2026-08-28 23:04:51,963,grap,29409,0.6,381.3,42792.0,26:24
2026-08-28 23:05:22,994,game,27291,47.0,1677.3,47411.5,27:33
2026-08-28 23:05:22,994,wineserver,27386,2.4,208.1,34953.2,27:33
2026-08-28 23:05:22,994,grap,29409,0.4,381.3,42792.0,26:54
2026-08-28 23:05:52,1024,game,27291,62.9,1698.8,47384.3,28:03
2026-08-28 23:05:52,1024,wineserver,27386,2.5,198.4,34942.4,28:03
2026-08-28 23:05:52,1024,grap,29409,2.3,381.3,42792.0,27:24
2026-08-28 23:06:22,1054,game,27291,61.6,1754.0,47406.5,28:33
2026-08-28 23:06:22,1054,wineserver,27386,2.3,104.6,34848.5,28:33
2026-08-28 23:06:22,1054,grap,29409,0.1,381.3,42792.0,27:54
2026-08-28 23:06:52,1084,game,27291,84.7,1755.6,47448.2,29:03
2026-08-28 23:06:52,1084,wineserver,27386,3.1,259.6,35014.9,29:03
2026-08-28 23:06:52,1084,grap,29409,1.4,381.8,42792.0,28:24
2026-08-28 23:07:22,1114,game,27291,89.3,1693.8,47950.4,29:33
2026-08-28 23:07:22,1114,wineserver,27386,3.3,289.6,35043.2,29:33
2026-08-28 23:07:22,1114,grap,29409,0.4,381.3,42792.0,28:54
2026-08-28 23:07:52,1144,game,27291,80.2,1673.4,47981.5,30:03
2026-08-28 23:07:52,1144,wineserver,27386,3.1,190.7,34943.7,30:03
2026-08-28 23:07:52,1144,grap,29409,0.8,367.0,42792.0,29:24
2026-08-28 23:08:22,1174,game,27291,56.3,1602.8,47984.2,30:34
2026-08-28 23:08:22,1174,wineserver,27386,2.4,140.8,34894.7,30:34
2026-08-28 23:08:22,1174,grap,29409,1.1,346.4,42792.0,29:55
2026-08-28 23:08:53,1205,game,27291,58.5,1667.9,48006.4,31:04
2026-08-28 23:08:53,1205,wineserver,27386,2.5,179.8,34930.7,31:04
2026-08-28 23:08:53,1205,grap,29409,0.6,346.9,42792.0,30:25
2026-08-28 23:09:23,1235,game,27291,83.2,1601.0,48018.0,31:34
2026-08-28 23:09:23,1235,wineserver,27386,3.0,300.8,35052.6,31:34
2026-08-28 23:09:23,1235,grap,29409,7.5,343.4,42792.0,30:55
2026-08-28 23:09:53,1265,game,27291,66.0,1589.2,48039.5,32:04
2026-08-28 23:09:53,1265,wineserver,27386,2.1,203.6,34953.2,32:04
2026-08-28 23:09:53,1265,grap,29409,0.2,344.9,42792.0,31:25
2026-08-28 23:10:23,1295,game,27291,63.0,1546.8,48074.9,32:34
2026-08-28 23:10:23,1295,wineserver,27386,2.4,209.4,34963.7,32:34
2026-08-28 23:10:23,1295,grap,29409,0.5,344.8,42792.0,31:55
2026-08-28 23:10:53,1325,game,27291,65.8,1588.6,48047.5,33:04
2026-08-28 23:10:53,1325,wineserver,27386,3.0,276.6,35038.4,33:04
2026-08-28 23:10:53,1325,grap,29409,1.8,344.7,42792.0,32:25
2026-08-28 23:11:23,1355,game,27291,62.8,1521.3,48035.8,33:34
2026-08-28 23:11:23,1355,wineserver,27386,3.3,175.3,34931.7,33:34
2026-08-28 23:11:23,1355,grap,29409,3.7,344.8,42792.0,32:55
2026-08-28 23:11:53,1385,game,27291,58.0,1619.2,48078.6,34:04
2026-08-28 23:11:53,1385,wineserver,27386,2.2,203.6,34959.9,34:04
2026-08-28 23:11:53,1385,grap,29409,1.3,345.5,42792.0,33:25
2026-08-28 23:12:23,1415,game,27291,75.9,1933.4,48100.0,34:35
2026-08-28 23:12:23,1415,wineserver,27386,4.6,107.3,34866.4,34:35
2026-08-28 23:12:23,1415,grap,29409,2.4,345.1,42792.0,33:56
2026-08-28 23:12:54,1446,game,27291,76.4,1869.6,48088.4,35:05
2026-08-28 23:12:54,1446,wineserver,27386,6.0,244.0,35005.9,35:05
2026-08-28 23:12:54,1446,grap,29409,11.1,345.0,42792.0,34:26
2026-08-28 23:13:24,1476,game,27291,64.2,1613.5,48085.2,35:35
2026-08-28 23:13:24,1476,wineserver,27386,2.7,297.9,35065.9,35:35
2026-08-28 23:13:24,1476,grap,29409,0.2,412.1,42920.0,34:56
